Statistical profiling result from isolate-0x110008000-97458-v8.log, (20311 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  T __ZN4node7TCPWrap3NewERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      2    0.0%    0.0%  T __ZN4node4EmitEPNS_11EnvironmentEdNS_10AsyncHooks6FieldsEN2v85LocalINS4_8FunctionEEE
      2    0.0%    0.0%  T __ZN4node21InternalCallbackScopeC2EPNS_11EnvironmentEN2v85LocalINS3_6ObjectEEERKNS_13async_contextEi
      2    0.0%    0.0%  T __ZN4node21InternalCallbackScopeC1EPNS_11EnvironmentEN2v85LocalINS3_6ObjectEEERKNS_13async_contextEi
      2    0.0%    0.0%  T __ZN4node15LibuvStreamWrap8OnUvReadElPK8uv_buf_t
      2    0.0%    0.0%  T __ZN4node11Environment6GetNowEv
      2    0.0%    0.0%  T __ZN4node11Environment17RunWeakRefCleanupEv
      2    0.0%    0.0%  T __ZN4node11Environment14CheckImmediateEP10uv_check_s
      2    0.0%    0.0%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_11ReadStartJSERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
      2    0.0%    0.0%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_10ReadStopJSERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
      2    0.0%    0.0%  T __ZN4node10StreamBase18CallJSOnreadMethodElN2v85LocalINS1_11ArrayBufferEEEmNS0_18StreamBaseJSChecksE
      2    0.0%    0.0%  T __ZN4node10HandleWrap7OnCloseEP11uv_handle_s
      2    0.0%    0.0%  T __ZN2v88internal9Accessors23IsJSObjectFieldAccessorEPNS0_7IsolateENS0_6HandleINS0_3MapEEENS4_INS0_4NameEEEPNS0_10FieldIndexE
      2    0.0%    0.0%  T __ZN2v88internal25FunctionCallbackArgumentsC1EPNS0_7IsolateENS0_6ObjectENS0_10HeapObjectES4_S5_Pmi
      2    0.0%    0.0%  T __ZN2v88internal25Builtin_ArrayBufferIsViewEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v88internal10ApiNatives17InstantiateObjectEPNS0_7IsolateENS0_6HandleINS0_18ObjectTemplateInfoEEENS4_INS0_10JSReceiverEEE
      2    0.0%    0.0%  T __ZN2v87Integer3NewEPNS_7IsolateEi
      2    0.0%    0.0%  T __ZN2v86String14NewFromOneByteEPNS_7IsolateEPKhNS_13NewStringTypeEi
      2    0.0%    0.0%  T __ZN2v86Object3SetENS_5LocalINS_7ContextEEENS1_INS_5ValueEEES5_
      2    0.0%    0.0%  T __ZN2v86Object3HasENS_5LocalINS_7ContextEEENS1_INS_5ValueEEE
      2    0.0%    0.0%  T __ZN2v85Array3NewEPNS_7IsolateEPNS_5LocalINS_5ValueEEEm
      2    0.0%    0.0%  T __ZN2v82V818GlobalizeReferenceEPNS_8internal7IsolateEPm
      2    0.0%    0.0%  T __ZN2v811HandleScopeC1EPNS_7IsolateE
      1    0.0%    0.0%  t __ZZN4node15LibuvStreamWrap9ReadStartEvEN3$_18__invokeEP11uv_handle_smP8uv_buf_t
      1    0.0%    0.0%  t __ZZN4node11Environment27RunAndClearNativeImmediatesEbENK3$_5clEPNS_13CallbackQueueIvJPS0_EEE
      1    0.0%    0.0%  t __ZThn16_N4node18SimpleShutdownWrapINS_7ReqWrapI13uv_shutdown_sEEED0Ev
      1    0.0%    0.0%  t __ZNSt3__116__pad_and_outputIcNS_11char_traitsIcEEEENS_19ostreambuf_iteratorIT_T0_EES6_PKS4_S8_S8_RNS_8ios_baseES4_
      1    0.0%    0.0%  t __ZNSt3__112__hash_tableIN4node19CleanupHookCallbackENS2_4HashENS2_5EqualENS_9allocatorIS2_EEE14__erase_uniqueIS2_EEmRKT_
      1    0.0%    0.0%  t __ZN4node15AllocatedBufferC2EPNS_11EnvironmentE8uv_buf_t
      1    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser5ProxyIMS1_FivEXadL_ZNS1_19on_message_completeEvEEE3RawEP18llhttp__internal_s
      1    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser5ProxyIMS1_FivEXadL_ZNS1_16on_message_beginEvEEE3RawEP18llhttp__internal_s
      1    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser5ProxyIMS1_FiPKcmEXadL_ZNS1_6on_urlES4_mEEE3RawEP18llhttp__internal_sS4_m
      1    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser3NewERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser13OnStreamAllocEm
      1    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser12OnStreamReadElRK8uv_buf_t
      1    0.0%    0.0%  t __ZN4node10StreamBase8ShutdownEN2v85LocalINS1_6ObjectEEE
      1    0.0%    0.0%  t __ZN4node10BaseObjectD2Ev
      1    0.0%    0.0%  t __ZN4node10BaseObject17decrease_refcountEv
      1    0.0%    0.0%  t __ZN4node10AsyncHooks17pop_async_contextEd
      1    0.0%    0.0%  t __ZN2v88internal6String7FlattenEPNS0_7IsolateENS0_6HandleIS1_EENS0_14AllocationTypeE
      1    0.0%    0.0%  t __ZN2v88internal22HandleScopeImplementer12EnterContextENS0_7ContextE
      1    0.0%    0.0%  t __ZN2v88internal19SequentialStringKeyIhE7IsMatchENS0_6StringE
      1    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_119HandleApiCallHelperILb1EEENS0_11MaybeHandleINS0_6ObjectEEEPNS0_7IsolateENS0_6HandleINS0_10HeapObjectEEESA_NS8_INS0_20FunctionTemplateInfoEEENS8_IS4_EENS0_16BuiltinArgumentsE
      1    0.0%    0.0%  t __ZN2v88internal12StringHasher20HashSequentialStringIhEEjPKT_iy
      1    0.0%    0.0%  t __ZN2v88internal11StringShape33DispatchToSpecificTypeWithoutCastIZNS1_22DispatchToSpecificTypeIZNS0_6String3GetEiE19StringGetDispatchertJRiEEET0_S4_DpOT1_E17CastingDispatchertJRS4_S6_EEES7_SA_
      1    0.0%    0.0%  T _task_info
      1    0.0%    0.0%  T _proc_setpcontrol
      1    0.0%    0.0%  T __ZNK2v88TryCatch9HasCaughtEv
      1    0.0%    0.0%  T __ZNK2v85Value8IsNumberEv
      1    0.0%    0.0%  T __ZN4node9AsyncWrapC2EPNS_11EnvironmentEN2v85LocalINS3_6ObjectEEE
      1    0.0%    0.0%  T __ZN4node9AsyncWrap9EmitAfterEPNS_11EnvironmentEd
      1    0.0%    0.0%  T __ZN4node9AsyncWrap11EmitDestroyEb
      1    0.0%    0.0%  T __ZN4node9AsyncWrap10GetAsyncIdERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node6loader10ModuleWrap3NewERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  T __ZN4node6errors13TryCatchScopeD1Ev
      1    0.0%    0.0%  T __ZN4node26DTRACE_HTTP_SERVER_REQUESTERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      1    0.0%    0.0%  T __ZN4node22EmitToJSStreamListener12OnStreamReadElRK8uv_buf_t
      1    0.0%    0.0%  T __ZN4node21InternalCallbackScopeD1Ev
      1    0.0%    0.0%  T __ZN4node21InternalCallbackScopeC1EPNS_9AsyncWrapEi
      1    0.0%    0.0%  T __ZN4node21DTRACE_NET_STREAM_ENDERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      1    0.0%    0.0%  T __ZN4node14options_parser10GetOptionsERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node13native_module15NativeModuleEnv15ModuleIdsGetterEN2v85LocalINS2_4NameEEERKNS2_20PropertyCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  T __ZN4node13ParseEncodingEPKcNS_8encodingE
      1    0.0%    0.0%  T __ZN4node12ShutdownWrap6OnDoneEi
      1    0.0%    0.0%  T __ZN4node12NodePlatform27MonotonicallyIncreasingTimeEv
      1    0.0%    0.0%  T __ZN4node10StreamBase9GetObjectEv
      1    0.0%    0.0%  T __ZN4node10StreamBase6WritevERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node10StreamBase12GetBytesReadERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node10HandleWrapC2EPNS_11EnvironmentEN2v85LocalINS3_6ObjectEEEP11uv_handle_sNS_9AsyncWrap12ProviderTypeE
      1    0.0%    0.0%  T __ZN2v88internal9Accessors20FunctionLengthGetterENS_5LocalINS_4NameEEERKNS_20PropertyCallbackInfoINS_5ValueEEE
      1    0.0%    0.0%  T __ZN2v88internal9Accessors17ArrayLengthSetterENS_5LocalINS_4NameEEENS2_INS_5ValueEEERKNS_20PropertyCallbackInfoINS_7BooleanEEE
      1    0.0%    0.0%  T __ZN2v88internal8Compiler16CompileOptimizedENS0_6HandleINS0_10JSFunctionEEENS0_15ConcurrencyModeE
      1    0.0%    0.0%  T __ZN2v88internal8Builtins7builtinEi
      1    0.0%    0.0%  T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal18Builtin_ArrayShiftEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal11VariableMap7DeclareEPNS0_4ZoneEPNS0_5ScopeEPKNS0_12AstRawStringENS0_12VariableModeENS0_12VariableKindENS0_18InitializationFlagENS0_17MaybeAssignedFlagENS0_12IsStaticFlagEPb
      1    0.0%    0.0%  T __ZN2v88internal10ApiNatives19InstantiateFunctionENS0_6HandleINS0_20FunctionTemplateInfoEEENS0_11MaybeHandleINS0_4NameEEE
      1    0.0%    0.0%  T __ZN2v88TryCatch10SetVerboseEb
      1    0.0%    0.0%  T __ZN2v87Isolate9InContextEv
      1    0.0%    0.0%  T __ZN2v87Integer15NewFromUnsignedEPNS_7IsolateEj
      1    0.0%    0.0%  T __ZN2v87Context29GetNumberOfEmbedderDataFieldsEv
      1    0.0%    0.0%  T __ZN2v86Object3NewEPNS_7IsolateE
      1    0.0%    0.0%  T __ZN2v86Object3GetENS_5LocalINS_7ContextEEENS1_INS_5ValueEEE
      1    0.0%    0.0%  T __ZN2v820EscapableHandleScope6EscapeEPm
      1    0.0%    0.0%  T __ZN2v816FunctionTemplate11GetFunctionENS_5LocalINS_7ContextEEE
      1    0.0%    0.0%  T __ZN2v811HandleScopeD2Ev
      1    0.0%    0.0%  T __ZN2v811HandleScope12CreateHandleEPNS_8internal7IsolateEm

 [Summary]:
   ticks  total  nonlib   name
    228    1.1%    1.1%  JavaScript
  19858   97.8%   98.8%  C++
    142    0.7%    0.7%  GC
    211    1.0%          Shared libraries
     14    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
   9795   84.0%   48.2%  T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
   1751   15.0%    8.6%  t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     44    0.4%    0.2%  T __kernelrpc_mach_port_set_attributes
     20    0.2%    0.1%  T _mach_timebase_info
